scenario,description,snr_db,channel,coding,scramble,requested_modulation,effective_modulation,ofdm_enabled,diversity,ber,fer,text_match_rate,checksum_pass,sync_error_symbols,received_path
awgn-coded,Required baseline with repetition-3 coding.,0.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.5209390862944162,1.0,0.0,False,0,results\experiments\awgn-coded\snr_0\received.txt
awgn-coded,Required baseline with repetition-3 coding.,3.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.5184010152284264,1.0,0.0,False,0,results\experiments\awgn-coded\snr_3\received.txt
awgn-coded,Required baseline with repetition-3 coding.,6.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.5285532994923858,1.0,0.0,False,0,results\experiments\awgn-coded\snr_6\received.txt
awgn-coded,Required baseline with repetition-3 coding.,9.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_9\received.txt
awgn-coded,Required baseline with repetition-3 coding.,12.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_12\received.txt
awgn-coded,Required baseline with repetition-3 coding.,15.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_15\received.txt
awgn-coded,Required baseline with repetition-3 coding.,24.0,awgn,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-coded\snr_24\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,0.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.526829268292683,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_0\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,3.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.5237804878048781,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_3\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,6.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.5237804878048781,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_6\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,9.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.0006476683937823834,1.0,0.0,False,0,results\experiments\awgn-uncoded\snr_9\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,12.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-uncoded\snr_12\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,15.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-uncoded\snr_15\received.txt
awgn-uncoded,Ablation study: disables FEC to show coding gain.,24.0,awgn,none,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\awgn-uncoded\snr_24\received.txt
rayleigh-coded,Level 3 fading-channel extension with one-tap equalization.,0.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,none,0.5234771573604061,1.0,0.0,False,0,results\experiments\rayleigh-coded\snr_0\received.txt
rayleigh-coded,Level 3 fading-channel extension with one-tap equalization.,3.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,none,0.5266497461928934,1.0,0.0,False,0,results\experiments\rayleigh-coded\snr_3\received.txt
rayleigh-coded,Level 3 fading-channel extension with one-tap equalization.,6.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,1.0,1.0,False,0,results\experiments\rayleigh-coded\snr_6\received.txt
rayleigh-coded,Level 3 fading-channel extension with one-tap equalization.,9.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\rayleigh-coded\snr_9\received.txt
rayleigh-coded,Level 3 fading-channel extension with one-tap equalization.,12.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\rayleigh-coded\snr_12\received.txt
rayleigh-coded,Level 3 fading-channel extension with one-tap equalization.,15.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\rayleigh-coded\snr_15\received.txt
rayleigh-coded,Level 3 fading-channel extension with one-tap equalization.,24.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\rayleigh-coded\snr_24\received.txt
ofdm,Split Level 3 evidence: OFDM with FFT 64 and cyclic prefix 16.,0.0,awgn,repetition3,pn-xor,qpsk,qpsk,True,none,0.5222081218274112,1.0,0.0,False,0,results\experiments\ofdm\snr_0\received.txt
ofdm,Split Level 3 evidence: OFDM with FFT 64 and cyclic prefix 16.,3.0,awgn,repetition3,pn-xor,qpsk,qpsk,True,none,0.5260152284263959,1.0,0.0,False,0,results\experiments\ofdm\snr_3\received.txt
ofdm,Split Level 3 evidence: OFDM with FFT 64 and cyclic prefix 16.,6.0,awgn,repetition3,pn-xor,qpsk,qpsk,True,none,0.524746192893401,1.0,0.0,False,0,results\experiments\ofdm\snr_6\received.txt
ofdm,Split Level 3 evidence: OFDM with FFT 64 and cyclic prefix 16.,9.0,awgn,repetition3,pn-xor,qpsk,qpsk,True,none,0.5266497461928934,1.0,0.0,False,0,results\experiments\ofdm\snr_9\received.txt
ofdm,Split Level 3 evidence: OFDM with FFT 64 and cyclic prefix 16.,12.0,awgn,repetition3,pn-xor,qpsk,qpsk,True,none,0.0,0.0,1.0,True,0,results\experiments\ofdm\snr_12\received.txt
ofdm,Split Level 3 evidence: OFDM with FFT 64 and cyclic prefix 16.,15.0,awgn,repetition3,pn-xor,qpsk,qpsk,True,none,0.0,0.0,1.0,True,0,results\experiments\ofdm\snr_15\received.txt
ofdm,Split Level 3 evidence: OFDM with FFT 64 and cyclic prefix 16.,24.0,awgn,repetition3,pn-xor,qpsk,qpsk,True,none,0.0,0.0,1.0,True,0,results\experiments\ofdm\snr_24\received.txt
diversity-mrc2,Split Level 3 evidence: two-branch Rayleigh MRC receive diversity.,0.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,mrc2,0.524746192893401,1.0,0.0,False,0,results\experiments\diversity-mrc2\snr_0\received.txt
diversity-mrc2,Split Level 3 evidence: two-branch Rayleigh MRC receive diversity.,3.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,mrc2,0.5342639593908629,1.0,0.0,False,0,results\experiments\diversity-mrc2\snr_3\received.txt
diversity-mrc2,Split Level 3 evidence: two-branch Rayleigh MRC receive diversity.,6.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,mrc2,0.524746192893401,1.0,0.0,False,0,results\experiments\diversity-mrc2\snr_6\received.txt
diversity-mrc2,Split Level 3 evidence: two-branch Rayleigh MRC receive diversity.,9.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,mrc2,0.5272842639593909,1.0,0.0,False,0,results\experiments\diversity-mrc2\snr_9\received.txt
diversity-mrc2,Split Level 3 evidence: two-branch Rayleigh MRC receive diversity.,12.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,mrc2,0.0,0.0,1.0,True,0,results\experiments\diversity-mrc2\snr_12\received.txt
diversity-mrc2,Split Level 3 evidence: two-branch Rayleigh MRC receive diversity.,15.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,mrc2,0.0,0.0,1.0,True,0,results\experiments\diversity-mrc2\snr_15\received.txt
diversity-mrc2,Split Level 3 evidence: two-branch Rayleigh MRC receive diversity.,24.0,rayleigh,repetition3,pn-xor,qpsk,qpsk,False,mrc2,0.0,0.0,1.0,True,0,results\experiments\diversity-mrc2\snr_24\received.txt
conv-viterbi,Split Level 3 evidence: convolutional coding with Viterbi decoding.,0.0,awgn,conv,pn-xor,qpsk,qpsk,False,none,0.5282663316582915,1.0,0.0,False,0,results\experiments\conv-viterbi\snr_0\received.txt
conv-viterbi,Split Level 3 evidence: convolutional coding with Viterbi decoding.,3.0,awgn,conv,pn-xor,qpsk,qpsk,False,none,0.5213567839195979,1.0,0.0,False,0,results\experiments\conv-viterbi\snr_3\received.txt
conv-viterbi,Split Level 3 evidence: convolutional coding with Viterbi decoding.,6.0,awgn,conv,pn-xor,qpsk,qpsk,False,none,0.5144472361809045,1.0,0.0,False,0,results\experiments\conv-viterbi\snr_6\received.txt
conv-viterbi,Split Level 3 evidence: convolutional coding with Viterbi decoding.,9.0,awgn,conv,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\conv-viterbi\snr_9\received.txt
conv-viterbi,Split Level 3 evidence: convolutional coding with Viterbi decoding.,12.0,awgn,conv,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\conv-viterbi\snr_12\received.txt
conv-viterbi,Split Level 3 evidence: convolutional coding with Viterbi decoding.,15.0,awgn,conv,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\conv-viterbi\snr_15\received.txt
conv-viterbi,Split Level 3 evidence: convolutional coding with Viterbi decoding.,24.0,awgn,conv,pn-xor,qpsk,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\conv-viterbi\snr_24\received.txt
adaptive-mod,Split Level 3 evidence: SNR-based adaptive BPSK/QPSK/16-QAM modulation.,0.0,awgn,repetition3,pn-xor,adaptive,bpsk,False,none,0.5298223350253807,1.0,0.0,False,0,results\experiments\adaptive-mod\snr_0\received.txt
adaptive-mod,Split Level 3 evidence: SNR-based adaptive BPSK/QPSK/16-QAM modulation.,3.0,awgn,repetition3,pn-xor,adaptive,bpsk,False,none,0.5291878172588832,1.0,0.0,False,0,results\experiments\adaptive-mod\snr_3\received.txt
adaptive-mod,Split Level 3 evidence: SNR-based adaptive BPSK/QPSK/16-QAM modulation.,6.0,awgn,repetition3,pn-xor,adaptive,qpsk,False,none,0.5285532994923858,1.0,0.0,False,0,results\experiments\adaptive-mod\snr_6\received.txt
adaptive-mod,Split Level 3 evidence: SNR-based adaptive BPSK/QPSK/16-QAM modulation.,9.0,awgn,repetition3,pn-xor,adaptive,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\adaptive-mod\snr_9\received.txt
adaptive-mod,Split Level 3 evidence: SNR-based adaptive BPSK/QPSK/16-QAM modulation.,12.0,awgn,repetition3,pn-xor,adaptive,qpsk,False,none,0.0,0.0,1.0,True,0,results\experiments\adaptive-mod\snr_12\received.txt
adaptive-mod,Split Level 3 evidence: SNR-based adaptive BPSK/QPSK/16-QAM modulation.,15.0,awgn,repetition3,pn-xor,adaptive,16qam,False,none,0.0,0.0,1.0,True,0,results\experiments\adaptive-mod\snr_15\received.txt
adaptive-mod,Split Level 3 evidence: SNR-based adaptive BPSK/QPSK/16-QAM modulation.,24.0,awgn,repetition3,pn-xor,adaptive,16qam,False,none,0.0,0.0,1.0,True,0,results\experiments\adaptive-mod\snr_24\received.txt
advanced-all,"All advanced modules: adaptive modulation, convolutional Viterbi, OFDM, and MRC2 diversity.",0.0,rayleigh,conv,pn-xor,adaptive,bpsk,True,mrc2,0.5131909547738693,1.0,0.0,False,0,results\experiments\advanced-all\snr_0\received.txt
advanced-all,"All advanced modules: adaptive modulation, convolutional Viterbi, OFDM, and MRC2 diversity.",3.0,rayleigh,conv,pn-xor,adaptive,bpsk,True,mrc2,0.5138190954773869,1.0,0.0,False,0,results\experiments\advanced-all\snr_3\received.txt
advanced-all,"All advanced modules: adaptive modulation, convolutional Viterbi, OFDM, and MRC2 diversity.",6.0,rayleigh,conv,pn-xor,adaptive,qpsk,True,mrc2,0.0,1.0,1.0,False,0,results\experiments\advanced-all\snr_6\received.txt
advanced-all,"All advanced modules: adaptive modulation, convolutional Viterbi, OFDM, and MRC2 diversity.",9.0,rayleigh,conv,pn-xor,adaptive,qpsk,True,mrc2,0.0,1.0,1.0,False,0,results\experiments\advanced-all\snr_9\received.txt
advanced-all,"All advanced modules: adaptive modulation, convolutional Viterbi, OFDM, and MRC2 diversity.",12.0,rayleigh,conv,pn-xor,adaptive,qpsk,True,mrc2,0.0,0.0,1.0,True,0,results\experiments\advanced-all\snr_12\received.txt
advanced-all,"All advanced modules: adaptive modulation, convolutional Viterbi, OFDM, and MRC2 diversity.",15.0,rayleigh,conv,pn-xor,adaptive,16qam,True,mrc2,0.0,1.0,1.0,False,0,results\experiments\advanced-all\snr_15\received.txt
advanced-all,"All advanced modules: adaptive modulation, convolutional Viterbi, OFDM, and MRC2 diversity.",24.0,rayleigh,conv,pn-xor,adaptive,16qam,True,mrc2,0.0,0.0,1.0,True,0,results\experiments\advanced-all\snr_24\received.txt
